0,1,2
1.2396674134474968e-14,2.3410644261269478e-14,2.314755373456219e-15
-5.5659027570338365e-06,-7.245462432679638e-05,-6.2886007489706735e-06
-5.591938010105685e-06,-7.084664893649904e-05,-6.1500637660487e-06
4.130858470052182e-06,5.9704264776279504e-05,5.178832055965327e-06
4.18056855362189e-06,6.331759856327644e-05,5.490877584217797e-06
4.187567766410351e-06,6.359511899223165e-05,5.514866010192172e-06
4.89536179697491e-06,7.003841430268264e-05,6.075570122310551e-06
4.993866445084875e-06,7.017645085232806e-05,6.088156427400513e-06
4.9681116135843846e-06,6.898697231358019e-05,5.98536922720011e-06
1.6360587424523047e-06,2.575652485710248e-05,2.233161022452225e-06
1.4489468067489994e-06,2.3076305250729777e-05,2.0006639542761824e-06
-2.908004184329911e-06,-3.113527107655127e-05,-2.705884222465058e-06
-3.051340254452911e-06,-3.255157951183926e-05,-2.8290480345434503e-06
-2.8926145115764735e-06,-2.9949313706473102e-05,-2.603470192176321e-06
4.630053691482338e-06,6.601544841187611e-05,5.726709745281231e-06
4.84701596221256e-06,6.857784193272662e-05,5.949248098572482e-06
4.8090854271787324e-06,6.587114429536834e-05,5.715494791015134e-06
-2.698173169311921e-06,-3.4694857610264566e-05,-3.011498728181551e-06
-2.7430825503808705e-06,-3.7471116000366445e-05,-3.2513048169114267e-06
-2.7061697538291126e-06,-3.7447468079673263e-05,-3.2490114754816525e-06
-2.4803659298210472e-06,-3.3718397612409324e-05,-2.9257683201058498e-06
-2.5964098044881657e-06,-3.508960958067435e-05,-3.0448542588364714e-06
-6.813255491771699e-06,-8.87249260194083e-05,-7.700720506939173e-06
-6.881914030398222e-06,-9.019013262962891e-05,-7.827590433019094e-06
-6.7445438258247e-06,-8.973687829505383e-05,-7.787548421773826e-06
-5.041177794107568e-06,-7.151418343997115e-05,-6.203856094804381e-06
-4.903653071736338e-06,-7.10329473464254e-05,-6.16139868923318e-06
-4.897239120277997e-06,-7.148541787631189e-05,-6.200387985449875e-06
-6.2067180651988825e-06,-8.831697719740695e-05,-7.66137084685635e-06
-6.2490648809619115e-06,-8.88054021121612e-05,-7.703796012175024e-06
-6.362002932514102e-06,-8.975332389361503e-05,-7.786344267455341e-06
-9.178745661857898e-06,-0.00012385184246119417,-1.0747225848736294e-05
-9.329534582615518e-06,-0.00012505332145867538,-1.085190663011764e-05
-1.0157172246870734e-05,-0.00013481354411090971,-1.1699563866501011e-05
-1.021766685697558e-05,-0.00013505278684947667,-1.1720616603865294e-05
-1.021323283599984e-05,-0.00013410599604186886,-1.1638908253267303e-05
-7.648641756515715e-06,-9.960596474731939e-05,-8.645111598321573e-06
-7.697502888416954e-06,-0.00010170239355459422,-8.826300147866728e-06
-1.5936932079596663e-05,-0.00021216613720280583,-1.84121615527112e-05
-1.6024667079933404e-05,-0.00021512227365600288,-1.8667784893601644e-05
-1.5817332283817423e-05,-0.00021182750285219734,-1.838213219876393e-05
-6.423448579080237e-06,-8.913876663998005e-05,-7.733755482451163e-06
-6.21018120494833e-06,-8.584423129139924e-05,-7.448083841469261e-06
-6.240670382356207e-06,-8.879721376491229e-05,-7.7030385167136e-06
-1.4328880823410867e-05,-0.00019899119305906887,-1.7264578723313547e-05
-1.4335565463753618e-05,-0.00020203930338041703,-1.752758274535398e-05
-1.4264535533228187e-05,-0.00020212868927566144,-1.75348094758648e-05
-1.426450633831915e-05,-0.00020212780369143407,-1.7534732876596255e-05
-1.4333119545307015e-05,-0.00020200630500425432,-1.752471930958742e-05
-1.4234500067199022e-05,-0.00019779194001880062,-1.71604761656556e-05
-2.790555476536054e-06,-4.519977767517415e-05,-3.918381266437033e-06
-2.70372996088504e-06,-4.0986077657194454e-05,-3.554284697080499e-06
-2.7505193882556547e-06,-4.092882467410091e-05,-3.549666742883646e-06
-2.8364647676704093e-06,-4.319499805235207e-05,-3.7457511626614957e-06
-9.043948053650931e-06,-0.00012545231852099847,-1.0884389076171257e-05
-9.0697571827179e-06,-0.00012700489289420744,-1.1018503115229703e-05
-7.0286493200568335e-06,-0.0001009781412165716,-8.759265433681291e-06
-6.990778957339236e-06,-0.00010145046163458348,-8.799752044678452e-06
-1.0153641680323623e-05,-0.00014446302917135126,-1.2531993226966682e-05
-1.0185927149173819e-05,-0.00014560953027834524,-1.2631120602969375e-05
-1.014032205727841e-05,-0.00014415565573906153,-1.2505385598509299e-05
-6.139589978576865e-06,-9.029648378054146e-05,-7.831699010673503e-06
-6.2278521608320026e-06,-8.814743691469862e-05,-7.64691113901087e-06
-4.8510681449409194e-06,-6.45009335674472e-05,-5.5975603808392846e-06
-4.9700171025194525e-06,-6.37902894805116e-05,-5.5370707774192645e-06
-4.855027593646408e-06,-6.204439513212226e-05,-5.385669365268124e-06
2.3649488803411551e-07,7.019063088475196e-07,6.217291037911529e-08
3.017933847998707e-07,7.524970956244263e-07,6.698590230436724e-08
-4.445746830436887e-06,-5.9991351610950474e-05,-5.205748580222587e-06
-4.562047559632927e-06,-6.169414137371065e-05,-5.353440364650853e-06
-4.677324547114703e-06,-6.285158669155334e-05,-5.454079964785055e-06
-7.982460477959976e-06,-0.0001033207815524226,-8.96789324545534e-06
-8.11999624396846e-06,-0.00010439543234652371,-9.061542526371606e-06
-8.085217245253994e-06,-0.00010316210194385063,-8.954907767983672e-06
-4.588977900755866e-06,-5.738216756762736e-05,-4.981639390082266e-06
-4.491433086483825e-06,-5.616971718923648e-05,-4.876376140384629e-06
-4.477183870593463e-06,-5.78348888279238e-05,-5.0199275552143875e-06
-8.919645961098981e-06,-0.00011924350521271092,-1.0347920573366125e-05
-8.95714922918116e-06,-0.00012087413322306718,-1.0488848146458876e-05
-8.925077618750474e-06,-0.00011855009364405618,-1.0288138521106077e-05
-2.6690422956987924e-06,-3.276601188208178e-05,-2.844914142968021e-06
-2.742363396545674e-06,-3.100859651896791e-05,-2.6938114944995304e-06
-4.594763194101985e-06,-5.341655389326151e-05,-4.639581191847001e-06
-4.580591022647504e-06,-5.396416402307871e-05,-4.686724611545425e-06
-4.126918160369447e-06,-5.132728079607466e-05,-4.456137387695273e-06
-4.03193060162508e-06,-5.1197170737919846e-05,-4.444261677130259e-06
