S.no,X,Y,Z_theta
158,-0.02417581245245017,-2.497273557049498,0.003268625202907621
159,-0.01922056241665648,-2.49724123500857,0.0032686231133046357
160,-0.014116987964961561,-2.497208066873836,0.0032805082676168286
161,-0.009168137361460802,-2.4971762059034903,0.0033617755607264718
162,-0.004261558590751636,-2.4971430417348848,0.0034666287124500515
163,0.0008285485622647853,-2.497107812665897,0.00348809934992881
164,0.0057696424432249725,-2.497073362109557,0.0034914697175288337
165,0.010710167545091666,-2.4970388842834566,0.003495628854967015
166,0.015801092732325373,-2.4970033203011637,0.0035003057086079657
167,0.020743589828125818,-2.4969687390477824,0.0035045941679196025
168,0.025687650246072433,-2.4969340979965873,0.003508419050721236
169,0.030783315773604755,-2.496898349958444,0.0035117801878607018
170,0.03573093026585621,-2.496863606086824,0.0035144812438470427
171,0.040680390257122535,-2.496828819717968,0.003516580531777379
172,0.04578149527194206,-2.496792951021956,0.0035192119354605826
173,0.05073420616814439,-2.496758103174095,0.0035220609333791154
174,0.055688791296503545,-2.496723212143588,0.0035242079617799627
175,0.06079538634569927,-2.4966872304233423,0.003525863166723
176,0.06575343993739051,-2.496652282293823,0.00352693678677451
177,0.07071269342083235,-2.4966173151503988,0.003527208895019572
178,0.0758217415433068,-2.4965812943240366,0.003526182046790714
179,0.0807786945611305,-2.4965463716579324,0.0035257500953908326
180,0.08573337742623514,-2.4965115326274323,0.003526721379660599
181,0.09083678545142113,-2.4964757830045015,0.0035497053922774902
182,0.09577555034712469,-2.496441304315479,0.0036525585483878674
183,0.10068186548926777,-2.496405550959094,0.003758683547841427
184,0.10577452831476572,-2.496367311301965,0.00376299570461512
185,0.1107158122188384,-2.496330160200486,0.0037658473037887213
186,0.11565635197009046,-2.496292974556238,0.003770228756564071
187,0.12074757950765758,-2.496254614369441,0.0037748331578092956
188,0.12569046264290892,-2.496217318390698,0.0037789869120606074
189,0.13063495649630405,-2.496179962802202,0.0037826487270633297
190,0.13573109545823747,-2.4961414182882047,0.0037858392846910564
191,0.14067918610373598,-2.496103960437906,0.0037883791708599557
192,0.1456291186901252,-2.496066461000729,0.003790348055852654
193,0.15073057969255296,-2.4960278007120107,0.0037933798326688843
194,0.15568379311796152,-2.4959902347749363,0.0037959723463474085
195,0.16063885141827794,-2.4959526281947633,0.0037979900089517267
196,0.16574590102642128,-2.495913849305835,0.003799520498446541
197,0.17070432655906279,-2.49587618710158,0.003800474429149595
198,0.1756636684473943,-2.495838503886818,0.0038002782547708826
199,0.1807722618472314,-2.495799700835098,0.003799360873069496
200,0.18572856972380922,-2.4957620887032466,0.003798743249504997
201,0.19068275715293542,-2.495724575384676,0.0038019481616629793
202,0.19578617252279112,-2.495686437393777,0.003845093760493462
203,0.20070843124739693,-2.49564885831864,0.00396164529230083
204,0.20562363025670413,-2.495610061325526,0.004050385822465781
205,0.2107180206732829,-2.495568846599914,0.004048024900626758
206,0.2156590498615528,-2.4955288828959983,0.0040511939385975545
207,0.22059973080725187,-2.4954888861742788,0.004055700800835901
208,0.22569128935340602,-2.4954476176993734,0.0040602386358639985
209,0.23063457257503314,-2.4954074982900107,0.004064268966455957
210,0.23557950557349375,-2.4953673192877983,0.004067783800166399
211,0.2406761216906479,-2.4953258665931712,0.0040708249959071924
212,0.24562468863403325,-2.4952855852645603,0.004073214310873489
213,0.2505750454892913,-2.495245265409865,0.0040752496150810915
214,0.2556769246298374,-2.495203698079574,0.004078412270924327
215,0.2606306201923045,-2.4951633055820572,0.004080847204997724
216,0.2655861445083653,-2.4951228741776625,0.004082738812563933
217,0.2706936333530921,-2.495081185223696,0.00408414082536403
218,0.27565240102018335,-2.495040699549264,0.004084966068868787
219,0.2806116488568361,-2.4950001952029863,0.004084335861365901
220,0.285719742830442,-2.4949584962602063,0.004083553416267193
221,0.2906753753248222,-2.494918079735085,0.00408312175290881
222,0.29562913350156966,-2.494877813684746,0.004089803565908573
223,0.30073142865283403,-2.494837052514423,0.004162027657100225
224,0.3056378451269689,-2.494796301184936,0.00428227143633748
225,0.3105667407569631,-2.4947542403107725,0.004340552655578907
226,0.3156592671478008,-2.4947100770185724,0.004341696174580392
227,0.3205997789361345,-2.494667206719048,0.004345647404584017
228,0.3255407013460992,-2.4946243039549136,0.004350176222265709
229,0.33063261454091747,-2.494580034006518,0.004354638942992095
230,0.33557630812788236,-2.4945370009327665,0.004358542267096563
231,0.34052168461065885,-2.494493908267894,0.004361910159356628
232,0.34561878014254305,-2.4944494545474503,0.004364801585916014
233,0.3505678244898002,-2.4944062598339958,0.00436702789103008
234,0.35551856271372745,-2.4943630312816505,0.004369284728284037
