aruco_id,Timestamp,score,p_x,p_y,p_z,o_x,o_y,o_z,o_w,x_linear,y_linear,z_linear,x_angular,y_angular,z_angular
12,2022-05-17 15:52:56,0.9706162736006858,0.04433031764048854,-0.02753684910896421,0.6582476542422186,0.6292982616267041,0.6182483975747733,-0.3274476491697086,0.33842377851307204,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:56,0.9716254176371185,0.04434929282595272,-0.027493857867392543,0.6580387261674449,0.6294258230788037,0.6183245763710483,-0.3270367716622965,0.33844468008499884,0.02348170503973961,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:56,0.9711195611360876,0.044376506882156594,-0.027542614627433723,0.6582223275611906,0.6295246346126933,0.6182474893021755,-0.32713533056741245,0.33830644670455423,0.15,0.03226791322231293,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:56,0.9721214659680547,0.04434590468349643,-0.027597224560930177,0.6582834181863921,0.6294280707763671,0.618174255103306,-0.32760301356688437,0.3381673543500455,0.15,0.03226791322231293,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:56,0.9701242790080375,0.0443296641068508,-0.02700151624135055,0.6580757106443015,0.6296528952773162,0.618851100038133,-0.3262112959226358,0.3378560904630258,0.15,0.03226791322231293,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:56,0.9811391825436451,0.0441891256501551,-0.025473568987735035,0.6572401952890641,0.6302072646638027,0.6181010258995331,-0.326564445940822,0.3378543887450276,0.15,0.03226791322231293,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:56,0.9823277571835121,0.04346671128870237,-0.025045612104562215,0.6552626848605411,0.6301126906799336,0.6181683972818272,-0.32664485200055565,0.3378297948784959,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.973931960496102,0.04397168714079599,-0.020731788140940784,0.6503516282758341,0.6304861258323605,0.6179466589758742,-0.3255772640521944,0.3385684818847488,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9720116668548441,0.044754300445679684,-0.017106998475425433,0.6437880804429675,0.6305846333831414,0.6186505265736941,-0.3255534304656977,0.3371194299104643,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9787445727498444,0.04503463558933799,-0.013881042751640175,0.6404715017841167,0.6302356707329069,0.6182526134209673,-0.3253402320109123,0.3387040577983571,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.976781649551512,0.04553915176273597,-0.012856158636406618,0.6362432775860972,0.6303979587566831,0.6181960295410992,-0.32621588554879166,0.33766148532316426,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9749831251119817,0.04602802300165573,-0.010880702057360381,0.6333588017446296,0.6305503746833439,0.6192853348490235,-0.32496130041216975,0.3365888475010116,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
11,2022-05-17 15:52:57,0.9927043432632967,0.022742814263022253,-0.45770747548549584,1.2933501864690304,0.6367877311114926,0.6081968756866182,-0.33027108430290075,0.33988079790464815,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
11,2022-05-17 15:52:57,0.9546620840732915,0.02369176623635395,-0.4628005149969694,1.2951799612246335,0.6359795917808031,0.6119097107173486,-0.32951096807722347,0.33543849910966533,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9799091555810701,0.04802730058392253,0.003869651262899529,0.6122648433725179,0.6303189580276072,0.6185111761995626,-0.32617558875492414,0.3372705462497488,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9786203973254411,0.0487104882219076,0.004914243064311077,0.6085256655795866,0.6306946063120962,0.6190602718053299,-0.3250672113199417,0.3366303634044583,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9831922945757005,0.048686385303159746,0.008670265906865274,0.6040844631418323,0.6306009086654049,0.6184513078510079,-0.32610140732370557,0.3369248372400621,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9793280488117471,0.04904501011784712,0.0109775296348243,0.6006042168844081,0.6312079924623365,0.6181478920802616,-0.32639426144602474,0.3360601729802275,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9802741333124025,0.049857900202582246,0.013682843520909111,0.5964587886670022,0.6305453002783374,0.619110276245882,-0.32541591575950324,0.3364811613063245,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9794027564061476,0.050622526914943566,0.01812419560894828,0.5878055717894847,0.630261492425317,0.619601343415095,-0.3258952521024549,0.3356440243190681,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.975413733415977,0.050867554525651545,0.02092878950030582,0.5833269738110917,0.6301775623806366,0.6198948979379341,-0.3255580965955883,0.3355867713775007,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.976227605407101,0.05137518322623129,0.02446677526346376,0.5796943288167241,0.6304445927205022,0.6184596056914501,-0.3267352804842219,0.3365878609283956,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
12,2022-05-17 15:52:57,0.9789194221332799,0.05199866443497521,0.02676006742157506,0.5760140890331559,0.630059971144176,0.6195088844559195,-0.3270219193942842,0.33509676076867834,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
