S.no,time_stamp,X,Y,Z,X_O,Y_O,Z_O
1,2022-06-12 16:07:28.767440080,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-06-12 16:07:28.767733335,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-06-12 16:07:28.786141157,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-06-12 16:07:28.804745912,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-06-12 16:07:28.823216676,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-06-12 16:07:28.843259334,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-06-12 16:07:28.863063573,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-06-12 16:07:28.884869337,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-06-12 16:07:28.904955387,0.0,0.0,0.0,0.0,0.0,0.0
10,2022-06-12 16:07:28.923672914,0.0,0.0,0.0,0.0,0.0,0.0
11,2022-06-12 16:07:28.947455167,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-06-12 16:07:28.967506408,0.0,0.0,0.0,0.0,0.0,0.0
13,2022-06-12 16:07:28.988038301,0.0,0.0,0.0,0.0,0.0,0.0
14,2022-06-12 16:07:29.9295463,0.0,0.0,0.0,0.0,0.0,0.0
15,2022-06-12 16:07:29.27669429,0.0,0.0,0.0,0.0,0.0,0.0
16,2022-06-12 16:07:29.47716856,0.0,0.0,0.0,0.0,0.0,0.0
17,2022-06-12 16:07:29.67941188,0.0,0.0,0.0,0.0,0.0,0.0
18,2022-06-12 16:07:29.87905645,0.0,0.0,0.0,0.0,0.0,0.0
19,2022-06-12 16:07:29.110620021,0.0,0.0,0.0,0.0,0.0,0.0
20,2022-06-12 16:07:29.128471136,0.0,0.0,0.0,0.0,0.0,0.0
21,2022-06-12 16:07:29.148207664,0.0,0.0,0.0,0.0,0.0,0.0
22,2022-06-12 16:07:29.168475627,0.0,0.0,0.0,0.0,0.0,0.0
23,2022-06-12 16:07:29.188485860,0.0,0.0,0.0,0.0,0.0,0.0
24,2022-06-12 16:07:29.210575103,0.0,0.0,0.0,0.0,0.0,0.0
25,2022-06-12 16:07:29.228775262,0.0,0.0,0.0,0.0,0.0,0.0
26,2022-06-12 16:07:29.248776197,0.0,0.0,0.0,0.0,0.0,0.0
27,2022-06-12 16:07:29.268942594,0.0,0.0,0.0,0.0,0.0,0.0
28,2022-06-12 16:07:29.289016008,0.0,0.0,0.0,0.0,0.0,0.0
29,2022-06-12 16:07:29.310619115,0.0,0.0,0.0,0.0,0.0,0.0
30,2022-06-12 16:07:29.331337690,0.0,0.0,0.0,0.0,0.0,0.0
31,2022-06-12 16:07:29.351388216,0.0,0.0,0.0,0.0,0.0,0.0
32,2022-06-12 16:07:29.372836112,0.0,0.0,0.0,0.0,0.0,0.0
33,2022-06-12 16:07:29.393654108,0.0,0.0,0.0,0.0,0.0,0.0
34,2022-06-12 16:07:29.412089347,0.0,0.0,0.0,0.0,0.0,0.0
