aruco_id,Timestamp,score,p_x,p_y,p_z,o_x,o_y,o_z,o_w,x_linear,y_linear,z_linear,x_angular,y_angular,z_angular
12,2022-05-17 13:36:59,0.9965637976540905,0.10002993784461157,-0.0023313641260465953,0.6031457697306801,0.6072497276681592,0.6363848589878621,-0.34390905549064604,0.328616251955799,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:00,0.9952721732865948,0.10003130319741887,-0.002364503861676644,0.6031440522654088,0.6073195267342486,0.6364021293925894,-0.3439766751444968,0.32838296105066644,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:00,0.9950095612988609,0.10011636319035368,-0.002287558263949513,0.6032765986636515,0.6069368128573814,0.6366022925592459,-0.34405405377590254,0.3286214149857013,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:00,0.9964923284346882,0.10005737451942574,-0.0023281041551278946,0.6032336615637017,0.6073219912116332,0.6364043688281348,-0.34399687497943177,0.32835290212146084,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:00,0.9986809639503168,0.10084144033342672,-0.0017419786911340124,0.601986272759064,0.6061788568122286,0.6362747099213445,-0.34514734360857224,0.3295072051841581,0.01117892973124981,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:01,0.9963650422453267,0.10177782317070198,-0.001541831471954573,0.6029314238349425,0.6067280459324758,0.636555375338328,-0.34492179850679183,0.3281878811316474,0.01117892973124981,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:01,0.9957648479106638,0.10206231137183008,-0.0013420155511994047,0.6012003393371312,0.6063139664441225,0.6369640140595876,-0.34440424159129146,0.328703418390835,0.01117892973124981,0.0,0.0,0.0,0.0,-0.09967026114463806
12,2022-05-17 13:37:01,0.9944743967348089,0.09335389116775135,-0.0006048713889325039,0.6026468343037868,0.6109169993341139,0.6338857032052839,-0.3427856610929227,0.32782209465750306,0.0,0.0,0.0,0.0,0.0,-0.09967026114463806
12,2022-05-17 13:37:01,0.9945155549909787,0.08338251119806861,-0.00020431518660631606,0.6018572410809835,0.6149051213478273,0.6300992393658975,-0.3401548908283971,0.3303956575626451,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9976705432186795,0.07592710622395361,0.0003936826188657524,0.6018258332230368,0.6177942913192646,0.6270900886363878,-0.339003538627075,0.3319108843434579,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9953318843445692,0.07282731762575681,0.0008844183709585889,0.6002023429250184,0.618403687564928,0.625597822454036,-0.3389697280225462,0.33362219235414853,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9968006139795275,0.07267042282069248,0.001044381865437376,0.5998454621536816,0.6186738627254037,0.6259285651407427,-0.33796293665698013,0.33352231764526563,0.07795724272727966,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9979845394561698,0.07260803355649464,0.0011005330842467262,0.5997569617712892,0.6187114120214903,0.6259021102026907,-0.3376670839683312,0.3338018536235479,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9973867958765854,0.07254300202823058,0.0013568510826734111,0.5998586776755747,0.6189523757130628,0.625061059340332,-0.33856166740415894,0.33402488838410416,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9973231924261093,0.07315556960816105,0.004421389826043614,0.5954902979601238,0.6190154901205343,0.6249308566683334,-0.3376240144316602,0.3350988992128562,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9959154612515034,0.07361602553513943,0.004878245308077429,0.591851259494041,0.619231818289858,0.6256801304290884,-0.3365783426849764,0.3343521329962018,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9955843765651166,0.07488801981696888,0.01108823564727169,0.5862396877407295,0.6181871220424161,0.6258975979072027,-0.33822081604042825,0.33422082321700936,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:02,0.9936297481214761,0.0746311287890399,0.014486800374788191,0.5783762192073829,0.6183717999366026,0.6252760119487889,-0.33921258401411314,0.33403749605553673,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:03,0.9986481880847131,0.07427473276904968,0.018150447670024786,0.5743233384621776,0.6188930279367696,0.6247080600676788,-0.33906833649529733,0.33428120324667726,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:03,0.9937470647215243,0.07511399185516965,0.020552048670066336,0.5666213786739629,0.6205278385621285,0.6246153531323972,-0.33475275642439417,0.3357699424709932,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:03,0.9994790261182182,0.07626115986834436,0.02530189066722085,0.5628574532206363,0.6180671229551039,0.6249193112842394,-0.3394620617682239,0.33501402138731295,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:03,0.9970248315484045,0.07425342387013566,0.027734447663416723,0.5548693600268899,0.6210288269706628,0.6244420726831812,-0.3351174385521106,0.3348008308126602,0.15,0.0,0.0,0.0,0.0,0.0
12,2022-05-17 13:37:03,0.9980432663975096,0.07433397386990868,0.03638629464543213,0.5473414216309674,0.6199248221555472,0.6235372646540952,-0.3371381735566565,0.3365001432302576,0.15,0.0,0.0,0.0,0.0,0.0
