S.no,aruco_id,Timestamp,score,p_x,p_y,p_z,o_x,o_y,o_z,o_w,x_linear,y_linear,z_linear,x_angular,y_angular,z_angular
1,-,,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
2,-,,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
3,-,,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
4,-,,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
5,-,,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
6,11,2022-05-17 13:36:59,0.7981689361097589,0.13307421302529676,-0.4599186976834506,1.299661209690008,0.6249724053816205,0.6342430563225927,-0.3245241487201387,0.31910705870531475,0.0,0.0,0.0,0.0,0.0,0.0
7,11,2022-05-17 13:36:59,0.7980996581688341,0.13310144602736823,-0.4602246652389813,1.300702321417259,0.6251709674472034,0.6342964289068795,-0.3237935964554225,0.3193540490295539,0.0,0.0,0.0,0.0,0.0,0.0
8,11,2022-05-17 13:36:59,0.7980996581688341,0.13310144602736823,-0.4602246652389813,1.300702321417259,0.6251709674472034,0.6342964289068795,-0.3237935964554225,0.3193540490295539,0.0,0.0,0.0,0.0,0.0,0.0
9,11,2022-05-17 13:36:59,0.7980996581688341,0.13310144602736823,-0.4602246652389813,1.300702321417259,0.6251709674472034,0.6342964289068795,-0.3237935964554225,0.3193540490295539,0.0,0.0,0.0,0.0,0.0,0.0
10,11,2022-05-17 13:36:59,0.8286376680184765,0.13299653115160837,-0.46001497634559874,1.299579495460468,0.6256768775622025,0.6341224909981115,-0.3240435286609061,0.31845392575277137,0.0,0.0,0.0,0.0,0.0,0.0
11,11,2022-05-17 13:36:59,0.8286376680184765,0.13299653115160837,-0.46001497634559874,1.299579495460468,0.6256768775622025,0.6341224909981115,-0.3240435286609061,0.31845392575277137,0.0,0.0,0.0,0.0,0.0,0.0
12,11,2022-05-17 13:36:59,0.8286376680184765,0.13299653115160837,-0.46001497634559874,1.299579495460468,0.6256768775622025,0.6341224909981115,-0.3240435286609061,0.31845392575277137,0.0,0.0,0.0,0.0,0.0,0.0
13,11,2022-05-17 13:36:59,0.7995484773464429,0.13328413983092025,-0.4607146266725514,1.3017514116966622,0.6252510757638486,0.6343275635565642,-0.32462375029678997,0.31829083416239085,0.0,0.0,0.0,0.0,0.0,0.0
14,11,2022-05-17 13:36:59,0.7995484773464429,0.13328413983092025,-0.4607146266725514,1.3017514116966622,0.6252510757638486,0.6343275635565642,-0.32462375029678997,0.31829083416239085,0.0,0.0,0.0,0.0,0.0,0.0
15,11,2022-05-17 13:36:59,0.7995484773464429,0.13328413983092025,-0.4607146266725514,1.3017514116966622,0.6252510757638486,0.6343275635565642,-0.32462375029678997,0.31829083416239085,0.0,0.0,0.0,0.0,0.0,0.0
16,11,2022-05-17 13:36:59,0.8062585742209977,0.1330078958865567,-0.4598218133931816,1.299321562966957,0.6256945852049579,0.6340225730544516,-0.32407797284947387,0.3185830039666023,0.0,0.0,0.0,0.0,0.0,0.0
17,11,2022-05-17 13:36:59,0.8062585742209977,0.1330078958865567,-0.4598218133931816,1.299321562966957,0.6256945852049579,0.6340225730544516,-0.32407797284947387,0.3185830039666023,0.0,0.0,0.0,0.0,0.0,0.0
18,11,2022-05-17 13:36:59,0.7979163615810048,0.13306412242758936,-0.4603060178499494,1.3006154901495643,0.6256684111282612,0.6337999354786472,-0.3240439957566402,0.31911153209743154,0.0,0.0,0.0,0.0,0.0,0.0
19,11,2022-05-17 13:36:59,0.7979163615810048,0.13306412242758936,-0.4603060178499494,1.3006154901495643,0.6256684111282612,0.6337999354786472,-0.3240439957566402,0.31911153209743154,0.0,0.0,0.0,0.0,0.0,0.0
20,11,2022-05-17 13:36:59,0.7979163615810048,0.13306412242758936,-0.4603060178499494,1.3006154901495643,0.6256684111282612,0.6337999354786472,-0.3240439957566402,0.31911153209743154,0.0,0.0,0.0,0.0,0.0,0.0
21,11,2022-05-17 13:36:59,0.8270661843581493,0.13306386733194417,-0.46017169644393324,1.2997424526199723,0.6256601631807959,0.6344826390876848,-0.3243431422530077,0.31746285921088757,0.0,0.0,0.0,0.0,0.0,0.0
22,11,2022-05-17 13:36:59,0.8270661843581493,0.13306386733194417,-0.46017169644393324,1.2997424526199723,0.6256601631807959,0.6344826390876848,-0.3243431422530077,0.31746285921088757,0.0,0.0,0.0,0.0,0.0,0.0
23,11,2022-05-17 13:36:59,0.7974921376232299,0.1333377149598808,-0.4606974221722593,1.3017429284652755,0.6250374775784264,0.6344972534877469,-0.3248738852594099,0.31811687414433076,0.0,0.0,0.0,0.0,0.0,0.0
24,11,2022-05-17 13:36:59,0.7974921376232299,0.1333377149598808,-0.4606974221722593,1.3017429284652755,0.6250374775784264,0.6344972534877469,-0.3248738852594099,0.31811687414433076,0.0,0.0,0.0,0.0,0.0,0.0
25,11,2022-05-17 13:36:59,0.7974921376232299,0.1333377149598808,-0.4606974221722593,1.3017429284652755,0.6250374775784264,0.6344972534877469,-0.3248738852594099,0.31811687414433076,0.0,0.0,0.0,0.0,0.0,0.0
26,11,2022-05-17 13:36:59,0.8221149217823543,0.1329773984365584,-0.45991775449446926,1.2996218699353874,0.6252044718931611,0.6343247554228592,-0.32413830140107364,0.3188821640470826,0.0,0.0,0.0,0.0,0.0,0.0
