S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
25,-,-,-,-,-,-0.500000040154468,-2.50000011359188,-3.5212850989044E-07
26,-,-,-,-,-,-0.500000040159754,-2.50000011359285,-3.52140466901656E-07
27,-,-,-,-,-,-0.500000040165041,-2.50000011359382,-3.52152423293467E-07
28,-,-,-,-,-,-0.500000040170487,-2.50000011359482,-3.52164741528224E-07
29,-,-,-,-,-,-0.500000040175773,-2.50000011359579,-3.52176698239515E-07
30,-,-,-,-,-,-0.500000040181059,-2.50000011359676,-3.52188654110987E-07
31,-,-,-,-,-,-0.500000040186506,-2.50000011359776,-3.52200970266101E-07
32,-,-,-,-,-,-0.500000040191792,-2.50000011359873,-3.52212924971443E-07
33,-,-,-,-,-,-0.500000040197078,-2.5000001135997,-3.52224881801469E-07
34,-,-,-,-,-,-0.500000040202524,-2.5000001136007,-3.52237199574343E-07
35,-,-,-,-,-,-0.50000004020781,-2.50000011360167,-3.52249153065296E-07
36,-,-,-,-,-,-0.500000040213095,-2.50000011360263,-3.52261103201661E-07
37,-,-,-,-,-,-0.500000040218539,-2.50000011360363,-3.52273414213939E-07
38,-,-,-,-,-,-0.500000040223823,-2.50000011360459,-3.52285363394746E-07
39,-,-,-,-,-,-0.500000040229107,-2.50000011360555,-3.52297313411154E-07
40,-,-,-,-,-,-0.500000040234551,-2.50000011360655,-3.52309625840116E-07
41,-,-,-,-,-,-0.500000040239836,-2.50000011360752,-3.52321577351929E-07
42,-,-,-,-,-,-0.50000004024512,-2.50000011360848,-3.52333529572514E-07
43,-,-,-,-,-,-0.500000040250564,-2.50000011360948,-3.52345844178317E-07
44,-,-,-,-,-,-0.500000040255848,-2.50000011361045,-3.52357796693683E-07
45,-,-,-,-,-,-0.500000040261132,-2.50000011361142,-3.52369748377223E-07
46,-,-,-,-,-,-0.500000040266576,-2.50000011361242,-3.52382062180679E-07
47,-,-,-,-,-,-0.500000040271858,-2.50000011361339,-3.52394013587509E-07
48,-,-,-,-,-,-0.500000040277141,-2.50000011361436,-3.52405964871224E-07
49,-,-,-,-,-,-0.500000040282583,-2.50000011361536,-3.52418277799492E-07
50,-,-,-,-,-,-0.500000040287866,-2.50000011361633,-3.52430228152397E-07
51,-,-,-,-,-,-0.500000040293148,-2.5000001136173,-3.52442178371409E-07
52,-,-,-,-,-,-0.50000004029859,-2.50000011361829,-3.52454491470241E-07
53,-,-,-,-,-,-0.500000040303873,-2.50000011361926,-3.52466442108201E-07
54,-,-,-,-,-,-0.500000040309155,-2.50000011362023,-3.52478392003308E-07
55,-,-,-,-,-,-0.500000040314597,-2.50000011362123,-3.52490702453065E-07
56,-,-,-,-,-,-0.499996706329543,-2.49999837456012,5.0318475892678E-06
