S.no,time_stamp,X,Y,Z,X_O,Y_O,Z_O
2823,2022-06-12 20:16:01.226059913,0.15,0.04457068741321563,0.0,0.0,0.0,-0.07155855149030685
2824,2022-06-12 20:16:01.247462511,0.15,0.04632377028465271,0.0,0.0,0.0,-0.07155855149030685
2825,2022-06-12 20:16:01.256448984,0.15,0.04632377028465271,0.0,0.0,0.0,-0.06804198771715164
2826,2022-06-12 20:16:01.278170347,0.15,0.04632377028465271,0.0,0.0,0.0,-0.06804198771715164
2827,2022-06-12 20:16:01.299199342,0.15,0.04632377028465271,0.0,0.0,0.0,-0.06804198771715164
2828,2022-06-12 20:16:01.300385236,0.15,0.04632377028465271,0.0,0.0,0.0,-0.061008860170841214
2829,2022-06-12 20:16:01.320651769,0.15,0.04632377028465271,0.0,0.0,0.0,-0.061008860170841214
2830,2022-06-12 20:16:01.342330932,0.15,0.04632377028465271,0.0,0.0,0.0,-0.061008860170841214
2831,2022-06-12 20:16:01.362297296,0.15,0.04984033405780792,0.0,0.0,0.0,-0.061008860170841214
2832,2022-06-12 20:16:01.366312265,0.15,0.05159861594438553,0.0,0.0,0.0,-0.061008860170841214
2833,2022-06-12 20:16:01.372603893,0.15,0.05511517971754074,0.0,0.0,0.0,-0.061008860170841214
2834,2022-06-12 20:16:01.380631208,0.15,0.05686825811862945,0.0,0.0,0.0,-0.061008860170841214
2835,2022-06-12 20:16:01.394325733,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
2836,2022-06-12 20:16:01.414493322,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
2837,2022-06-12 20:16:01.436664819,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
2838,2022-06-12 20:16:01.453461170,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
2839,2022-06-12 20:16:01.475291728,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
2840,2022-06-12 20:16:01.494094848,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
2841,2022-06-12 20:16:01.515683650,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
2842,2022-06-12 20:16:01.538171529,0.15,0.06038482636213302,0.0,0.0,0.0,-0.061008860170841214
