S.no,frame_id,child_frame_id,X,Y,Z
1,odom,base_footprint,-0.5000000400262796,-2.500000113568307,-0.0010082935035563394
2,odom,base_footprint,-0.500000040031566,-2.500000113569278,-0.0010082935036026044
3,odom,base_footprint,-0.5000000400368522,-2.5000001135702483,-0.0010082935036488418
4,odom,base_footprint,-0.5000000400422986,-2.5000001135712484,-0.0010082935036964565
5,odom,base_footprint,-0.5000000400475848,-2.5000001135722187,-0.0010082935037426487
6,odom,base_footprint,-0.500000040052871,-2.5000001135731886,-0.0010082935037888027
7,odom,base_footprint,-0.5000000400583174,-2.5000001135741887,-0.0010082935038363237
8,odom,base_footprint,-0.5000000400636037,-2.5000001135751595,-0.0010082935038824362
9,odom,base_footprint,-0.5000000400688912,-2.500000113576131,-0.0010082935039285104
10,odom,base_footprint,-0.5000000400743414,-2.5000001135771335,-0.0010082935039760557
11,odom,base_footprint,-0.5000000400796313,-2.5000001135781087,-0.0010082935040222514
12,odom,base_footprint,-0.5000000400849212,-2.500000113579085,-0.0010082935040684263
13,odom,base_footprint,-0.5000000400903715,-2.5000001135800924,-0.0010082935041159855
14,odom,base_footprint,-0.5000000400956615,-2.50000011358107,-0.0010082935041620979
15,odom,base_footprint,-0.5000000401009513,-2.5000001135820473,-0.001008293504208186
16,odom,base_footprint,-0.5000000401064015,-2.500000113583052,-0.0010082935042556584
17,odom,base_footprint,-0.5000000401116914,-2.5000001135840257,-0.0010082935043016807
18,odom,base_footprint,-0.5000000401169813,-2.5000001135849983,-0.001008293504347696
19,odom,base_footprint,-0.500000040122431,-2.5000001135859993,-0.0010082935043950435
20,odom,base_footprint,-0.5000000401277171,-2.5000001135869705,-0.001008293504440906
21,odom,base_footprint,-0.5000000401330034,-2.5000001135879404,-0.001008293504486668
22,odom,base_footprint,-0.5000000401384497,-2.5000001135889405,-0.0010082935045337901
23,odom,base_footprint,-0.5000000401437359,-2.500000113589911,-0.0010082935045794897
24,odom,base_footprint,-0.500000040149022,-2.500000113590881,-0.0010082935046251754
25,odom,base_footprint,-0.5000000401544683,-2.5000001135918812,-0.0010082935046722002
26,odom,base_footprint,-0.5000000401597545,-2.5000001135928516,-0.001008293504717813
27,odom,base_footprint,-0.5000000401650406,-2.500000113593822,-0.0010082935047634155
28,odom,base_footprint,-0.5000000401704869,-2.5000001135948215,-0.0010082935048103606
29,odom,base_footprint,-0.5000000401757732,-2.500000113595792,-0.001008293504855904
30,odom,base_footprint,-0.5000000401810593,-2.500000113596762,-0.0010082935049014162
31,odom,base_footprint,-0.5000000401865056,-2.500000113597762,-0.0010082935049482745
32,odom,base_footprint,-0.5000000401917917,-2.500000113598732,-0.0010082935049937278
33,odom,base_footprint,-0.5000000401970778,-2.5000001135997025,-0.0010082935050391671
34,odom,base_footprint,-0.5000000402025241,-2.5000001136007017,-0.00100829350508597
35,odom,base_footprint,-0.5000000402078102,-2.5000001136016707,-0.0010082935051313538
36,odom,base_footprint,-0.5000000402130947,-2.500000113602635,-0.0010082935051766995
37,odom,base_footprint,-0.5000000402185389,-2.500000113603626,-0.001008293505223374
38,odom,base_footprint,-0.5000000402238228,-2.500000113604589,-0.0010082935052686468
39,odom,base_footprint,-0.500000040229107,-2.5000001136055534,-0.0010082935053138953
40,odom,base_footprint,-0.5000000402345512,-2.5000001136065486,-0.0010082935053605108
41,odom,base_footprint,-0.5000000402398356,-2.500000113607516,-0.0010082935054057385
42,odom,base_footprint,-0.5000000402451198,-2.500000113608484,-0.0010082935054509488
43,odom,base_footprint,-0.5000000402505644,-2.5000001136094827,-0.0010082935054975227
44,odom,base_footprint,-0.5000000402558484,-2.500000113610452,-0.0010082935055426845
45,odom,base_footprint,-0.5000000402611319,-2.5000001136114216,-0.0010082935055878185
46,odom,base_footprint,-0.5000000402665755,-2.50000011361242,-0.0010082935056343126
47,odom,base_footprint,-0.5000000402718582,-2.5000001136133894,-0.001008293505679391
48,odom,base_footprint,-0.5000000402771406,-2.500000113614359,-0.0010082935057244453
49,odom,base_footprint,-0.500000040282583,-2.500000113615357,-0.0010082935057708284
50,odom,base_footprint,-0.5000000402878655,-2.5000001136163266,-0.001008293505815827
51,odom,base_footprint,-0.5000000402931479,-2.500000113617295,-0.001008293505860805
52,odom,base_footprint,-0.5000000402985904,-2.500000113618294,-0.0010082935059070944
53,odom,base_footprint,-0.5000000403038727,-2.500000113619263,-0.0010082935059520237
54,odom,base_footprint,-0.5000000403091551,-2.500000113620232,-0.0010082935059969149
55,odom,base_footprint,-0.5000000403145975,-2.500000113621227,-0.0010082935060431418
56,odom,base_footprint,-0.49999670632954324,-2.4999983745601217,-0.0010072343382421765
57,odom,base_footprint,-0.4999855263422353,-2.4999770267861794,-0.0010063435808824635
58,odom,base_footprint,-0.49992167308219404,-2.499953685831862,-0.001006318410480319
59,odom,base_footprint,-0.49971479268934654,-2.499938138504399,-0.0010063571590146793
60,odom,base_footprint,-0.49924615909553344,-2.4999281589623017,-0.001006409319116948
61,odom,base_footprint,-0.49835544067018067,-2.4999207922914652,-0.0010064879890801862
62,odom,base_footprint,-0.4969707625097475,-2.499913992295675,-0.0010065887242973054
63,odom,base_footprint,-0.49496125866436497,-2.4999056736501024,-0.001006713450880617
64,odom,base_footprint,-0.49213263779172284,-2.499893919829603,-0.0010068670904275524
65,odom,base_footprint,-0.48856430475720825,-2.499878171574413,-0.001007019877825286
66,odom,base_footprint,-0.48411621701789065,-2.4998573284958776,-0.0010071562791019208
67,odom,base_footprint,-0.4790189237026744,-2.4998332308598874,-0.001007450453506628
68,odom,base_footprint,-0.47406831798393373,-2.499809642033299,-0.0010074569104921403
69,odom,base_footprint,-0.46911618434753327,-2.4997860258185907,-0.0010074968331713098
70,odom,base_footprint,-0.46401201037606066,-2.4997616658683057,-0.0010075752519261363
71,odom,base_footprint,-0.45905611517674816,-2.499738009400156,-0.0010076884360955586
72,odom,base_footprint,-0.4540985234150771,-2.4997143488683364,-0.0010078416793162653
73,odom,base_footprint,-0.4489892168828105,-2.499689976185072,-0.0010080535882975444
74,odom,base_footprint,-0.4440299977242486,-2.499666340692379,-0.001008236217673559
75,odom,base_footprint,-0.4390723201891169,-2.4996427494040985,-0.0010083394645984782
76,odom,base_footprint,-0.43396662973478173,-2.499618223906685,-0.0010083605834023575
77,odom,base_footprint,-0.4290129727153429,-2.4995942773153237,-0.0010082787421784832
78,odom,base_footprint,-0.4240624779908254,-2.499570484655903,-0.0010083523210110308
79,odom,base_footprint,-0.4189970661205386,-2.4995446423014736,-0.0010077947121597576
80,odom,base_footprint,-0.41405375909959935,-2.4995195722602213,-0.0010084396890640383
81,odom,base_footprint,-0.40911230977786683,-2.4994943915009715,-0.00100828163918526
82,odom,base_footprint,-0.40402204286667714,-2.499468410971731,-0.0010081075703098664
83,odom,base_footprint,-0.3990808895368859,-2.4994431537874022,-0.0010078765268011838
84,odom,base_footprint,-0.39413847157917903,-2.4994178379908254,-0.00100769911846562
85,odom,base_footprint,-0.38904466059147946,-2.4993916988384424,-0.0010075652984008546
86,odom,base_footprint,-0.3840989409699859,-2.4993662803551366,-0.0010074751661194627
87,odom,base_footprint,-0.37915143194334716,-2.4993408225490596,-0.0010074228999070213
88,odom,base_footprint,-0.3740520708267972,-2.4993145572554267,-0.0010074060832952793
89,odom,base_footprint,-0.3691010491080576,-2.4992890358322937,-0.001007424290146778
90,odom,base_footprint,-0.3641484496799916,-2.499263480992226,-0.0010074710138428186
91,odom,base_footprint,-0.3590438073361253,-2.499237116043345,-0.0010075580375186466
92,odom,base_footprint,-0.354087479458937,-2.49921150153352,-0.0010076788935032416
93,odom,base_footprint,-0.34912950988296426,-2.499185869296944,-0.0010078478007306164
94,odom,base_footprint,-0.344019995607704,-2.499159449189943,-0.0010080703824877635
95,odom,base_footprint,-0.3390611135812955,-2.4991338202769433,-0.0010082292843699228
96,odom,base_footprint,-0.3341039963733173,-2.499108218108039,-0.0010083231879681256
97,odom,base_footprint,-0.32899903708949685,-2.499081911897933,-0.0010083428970183612
98,odom,base_footprint,-0.32404580290826074,-2.4990563506023795,-0.0010082313433059653
99,odom,base_footprint,-0.31910282144191454,-2.499030267533571,-0.0010082717292376302
100,odom,base_footprint,-0.3140373465090303,-2.499002331990989,-0.001008035137204391
101,odom,base_footprint,-0.30909270977775516,-2.498975047992854,-0.001008265938992392
102,odom,base_footprint,-0.304151166458828,-2.49894775485754,-0.0010082519467379987
103,odom,base_footprint,-0.29906091166481447,-2.498919584191612,-0.0010080423586245855
104,odom,base_footprint,-0.2941194704951112,-2.498892196429321,-0.0010078238366420036
105,odom,base_footprint,-0.2891766705975604,-2.498864750392054,-0.001007660578574602
106,odom,base_footprint,-0.2840824143770394,-2.498836417651122,-0.0010075371833021263
107,odom,base_footprint,-0.27913623616811645,-2.4988088709112577,-0.0010074591814827477
108,odom,base_footprint,-0.2741882498618683,-2.498781286234933,-0.0010074148036287832
109,odom,base_footprint,-0.26908839497514064,-2.49875283079362,-0.001007408108929065
110,odom,base_footprint,-0.2641370359144158,-2.4987251822203027,-0.001007431488931631
111,odom,base_footprint,-0.259183930945695,-2.4986974983336308,-0.0010074905145228408
112,odom,base_footprint,-0.2540787968301764,-2.4986689413911414,-0.001007586061196785
113,odom,base_footprint,-0.2491220217220843,-2.4986412005359013,-0.0010077190494462013
114,odom,base_footprint,-0.24416366981886792,-2.4986134433700253,-0.0010079019042738453
115,odom,base_footprint,-0.2390540303648169,-2.498584835571305,-0.001008125165241295
116,odom,base_footprint,-0.2340955723557185,-2.498557094793452,-0.0010082585910041186
117,odom,base_footprint,-0.22913908070057837,-2.4985293964333044,-0.0010083300533051016
118,odom,base_footprint,-0.22403465814447338,-2.4985009156853075,-0.0010083331127225814
119,odom,base_footprint,-0.21908147346834006,-2.4984733275000304,-0.0010082542648824112
120,base_footprint,Frame_36,0.013885285601625658,-0.009785057568197175,2.9439599947240054
121,odom,base_footprint,-0.21415156982572234,-2.498444578266629,-0.0010080738165679122
122,odom,base_footprint,-0.20907948093291476,-2.498414323690247,-0.0010081412285539403
123,odom,base_footprint,-0.2041350544048254,-2.4983847804321524,-0.0010082971698368998
124,odom,base_footprint,-0.19919391704584227,-2.498355218296278,-0.001008208572998933
125,odom,base_footprint,-0.19410353668709857,-2.4983247114470686,-0.0010079789913988238
126,base_footprint,Frame_36,0.013881981283282314,-0.008437620414296573,2.9485382174010244
127,base_footprint,Frame_36,0.013881981283282314,-0.008437620414296573,2.9485382174010244
128,odom,base_footprint,-0.18916177916607402,-2.498295047733738,-0.0010077756164018
129,odom,base_footprint,-0.1842185824893707,-2.4982653262639993,-0.0010076259031542162
130,base_footprint,Frame_36,0.01363636385458073,-0.009090909238863642,2.954545498483868
131,odom,base_footprint,-0.17912387475260683,-2.4982346501265837,-0.0010075124122915745
132,base_footprint,Frame_36,0.01363636385458073,-0.009090909238863642,2.954545498483868
133,odom,base_footprint,-0.17417723307232388,-2.498204830505187,-0.0010074440120214044
134,odom,base_footprint,-0.16922877007804282,-2.4981749727191835,-0.00100740962182274
135,odom,base_footprint,-0.1641284688192758,-2.498144176996631,-0.0010074125782282076
136,odom,base_footprint,-0.15917671290247168,-2.4981142548728035,-0.0010074438678245971
137,odom,base_footprint,-0.15422311983208148,-2.4980842955012155,-0.0010075136180180827
138,odom,base_footprint,-0.14911750106638894,-2.4980533962727605,-0.001007617442577699
139,odom,base_footprint,-0.14416029314907364,-2.498023382978507,-0.0010077630792691868
140,odom,base_footprint,-0.1392015875304269,-2.4979933549107733,-0.0010079602161696573
141,odom,base_footprint,-0.13409200148321754,-2.497962413236374,-0.0010081697088835558
142,odom,base_footprint,-0.1291340164955156,-2.497932412606025,-0.0010082852249574774
143,odom,base_footprint,-0.12417819726897202,-2.497902458193147,-0.0010083444435983642
144,odom,base_footprint,-0.11907425426186935,-2.4978716687736098,-0.001008307654254588
